COMID,Stream DO
22877915,11.21749898
22877917,11.57695989
22877919,11.58091375
22877921,11.09556994
22877923,11.27503252
22877925,11.3517761
22877927,11.0518529
22877929,9.843477974
22877931,11.05640659
22877933,10.30087887
22877935,11.05499737
22877937,11.05496014
22877939,11.05493634
22877941,10.59920026
22877943,10.60848795
22877945,10.81251847
22877947,10.90793849
22877949,11.02249575
22877951,11.25025271
22877953,11.35624112
22877955,11.31838372
22877957,11.23569237
22877959,10.9277135
22877961,11.06429566
22877963,10.77851679
22877965,10.77848853
22877967,10.84949543
22877969,11.79610208
22877971,11.21618284
22877973,11.25733447
22877975,11.37924267
22877977,11.41884565
22877979,11.40102892
22877981,11.25658161
22877983,11.26319971
22877985,11.06401892
22877987,10.4634876
22877989,11.13832592
22877991,10.49631849
22877993,10.49628955
22877995,10.49623648
22877997,10.5147238
22877999,10.52416108
22878001,10.52412699
22878003,10.55133516
22878005,10.55498265
22878007,10.73547282
22878009,10.73547282
22878011,10.73546652
22878013,10.73546652
22878015,10.74027066
22878017,10.74027066
22878019,10.75421465
22878021,10.75887891
22878023,10.79622124
22878025,10.80092155
22878027,10.80089583
22878029,10.91658304
22878031,10.9307152
22878033,10.9353746
22878035,10.93536069
22878037,10.9446925
22878039,10.94465065
22878041,10.96351402
22878043,10.96344394
22878045,10.99671118
22878047,11.09280773
22878049,11.21469179
22878051,11.28814365
22878053,11.26154109
22878055,11.4590047
22878057,11.49725407
22878059,11.32743016
22878061,11.29282515
22878063,11.18897123
22878065,11.21307676
22878067,11.28361181
22878069,10.81032297
22878071,10.90523924
22878073,10.90992597
22878075,10.92398484
22878077,10.9286081
22878079,10.93806678
22878081,10.93800405
22878083,10.95669269
22878085,10.95666745
22878087,10.96142736
22878089,10.9661872
22878091,10.9943887
22878093,11.06884171
22878095,11.06876097
22878097,11.07685791
22878099,11.2311481
22878101,11.45664964
22878103,10.9967825
22878105,11.01977176
22878107,11.02361081
22878109,11.02357482
22878111,11.03748997
