COMID,Stream DOC
22878279,0.781818182
22878281,0.781818182
22878283,1.087227314
22878285,0.781818182
22878287,0.781818182
22878289,0.781818182
22878291,2.489017248
22878293,2.463214599
22878295,2.997435241
22878297,2.997435241
22878299,2.594664682
22878301,2.997728
22878303,1.341922505
22878305,1.335874777
22878307,1.798632394
22878309,1.368248736
22878311,1.286527654
22878313,1.281020922
22878315,1.210762232
22878317,1.146813804
22878319,0.969354242
22878321,1.058692388
22878323,2.998313519
22878325,2.998313519
22878327,2.998606278
22878329,3.000070074
22878331,3.000070074
22878333,1.13254812
22878335,1.131716637
22878337,1.604240224
22878339,1.099599956
22878341,1.064138434
22878343,0.935234124
22878345,1.443515372
22878347,0.889776629
22878349,0.905891493
22878351,0.831763876
22878353,0.781818182
22878355,0.781818182
22878357,0.781818182
22878359,0.781818182
22878361,2.650278117
22878363,2.240753845
22878365,2.206598715
22878367,1.260619152
22878369,3.002704908
22878371,2.493556307
22878373,3.004461464
22878375,3.004461464
22878377,2.543350725
22878379,2.503311065
22878381,1.247156276
22878383,1.224669894
22878385,1.221483116
22878387,1.261728402
22878389,1.121814547
22878391,1.111307139
22878393,1.09519704
22878395,1.581404999
22878397,1.065065799
22878399,0.987968791
22878401,1.050720161
22878403,1.218325175
22878405,3.00592526
22878407,3.00621802
22878409,3.00621802
22878411,2.632568454
22878413,2.565179555
22878415,3.006510779
22878417,1.081305988
22878419,1.096927431
22878421,1.045349259
22878423,1.169634696
22878425,1.170485003
22878427,3.007389057
22878429,3.007389057
22878431,2.486556
22878433,3.007681816
22878435,2.520554898
22878437,2.601006146
22878439,3.008267335
22878441,3.008267335
22878443,3.008560094
22878445,3.008560094
22878447,3.008560094
22878449,3.008852853
22878451,3.008852853
22878453,3.008852853
22878455,1.044318806
22878457,0.976692841
22878459,1.522267622
22878461,1.048820479
22878463,1.004811762
22878465,1.030308472
22878467,1.141022195
22878469,3.010609409
22878471,3.011780446
22878473,3.011780446
22878475,3.012073205
22878477,3.012073205
22878479,3.012073205
22878481,3.01851391
22878483,3.01851391
22878485,2.499600019
22878487,1.077179821
22878489,1.03728645
22878491,1.178420984
22878493,1.093396959
22878495,1.661913804
22878497,0.811870268
22878499,1.191773479
22878501,1.755889537
22878503,1.26150673
22878505,1.775797169
22878507,1.210968163
22878509,1.26969469
22878511,1.844302843
22878513,1.437061004
22878515,1.332709248
22878517,1.303996564
22878519,1.474210003
22878521,3.018806669
22878523,2.50428085
22878525,3.020855984
22878527,3.021148743
22878529,3.021441503
22878531,3.021441503
22878533,3.021441503
22878535,3.021734262
22878537,2.627415912
22878539,3.022027021
22878541,3.022027021
22878543,3.022905299
22878545,2.613304816
22878547,1.944300576
22878549,1.830239666
22878551,1.884972178
22878553,1.865957811
22878555,1.872558099
22878557,2.429891781
